"","X","Date","open","high","low","close","volume","Open","High","Low","Close","Volume","macd","rsi","ulti","volatility","roc","dema","atr","cci","obv","wr"
"31",31,"2017-02-14",8819.9,8819.9,8772.65,8784.15,165140165,8818.85,8826.45,8754.3,8802.05,164759623,1.96593695526031,77.3176350228833,65.6442592362463,0.100171063437411,0.000909292462672795,8832.89778314716,72.1500000000015,88.0905369910558,2631838117,0.0571428571428605
"32",32,"2017-02-15",8777.65,8807.65,8713.05,8728.2,195106257,8819.9,8819.9,8772.65,8784.15,165140165,1.88380454808303,74.5211502124009,61.6437072180221,0.0427298731931712,-0.00203568777581431,8831.45379039532,47.25,80.6474404880244,2466697952,0.127275462614717
"33",33,"2017-02-16",8739,8783.8,8719.95,8777.8,182528709,8777.65,8807.65,8713.05,8728.2,195106257,1.74654358533683,66.4329949680006,52.9884791441474,0.0579109278466542,-0.00638979809876972,8810.42752118474,94.6000000000004,55.8029146045081,2271591695,0.340377619954961
"34",34,"2017-02-17",8883.7,8885.9,8804.75,8816.95,279020714,8739,8783.8,8719.95,8777.8,182528709,1.66443938002498,69.5845864884579,57.2716195012685,0.0649138518480723,0.00566664374783166,8810.03051382279,63.8499999999985,56.3515198181363,2454120404,0.16854321843063
"35",35,"2017-02-20",8818.55,8885.35,8809.85,8884.25,150706179,8883.7,8885.9,8804.75,8816.95,279020714,1.61673354291871,71.8325997453137,52.6096239336056,0.0592398594679185,0.00445019845253825,8821.64142579296,108.1,91.6983045217617,2733141118,0.198075265728236
"36",36,"2017-02-21",8890.75,8920.5,8861.05,8903.25,156514278,8818.55,8885.35,8809.85,8884.25,150706179,1.62198790526629,75.2227999876959,57.0586049172216,0.0673876219863952,0.00760404088780398,8851.50686518479,75.5,103.842101457795,2883847297,0.00474001723642526
"37",37,"2017-02-22",8931.45,8960.6,8905.5,8930.1,257191778,8890.75,8920.5,8861.05,8903.25,156514278,1.62435795989975,76.0974727985213,56.9698650217736,0.0672675549355532,0.00213633250610812,8878.86284146578,59.4500000000007,131.27448751281,3040361575,0.073498082658713
"38",38,"2017-02-23",8952.55,8981.9,8928.1,8941.2,320126240,8931.45,8960.6,8905.5,8930.1,257191778,1.63152978750387,77.3161416186251,55.37697623398,0.0676260987177427,0.00301121441437857,8906.85773991948,57.3500000000004,162.446157333939,3297553353,0.120624876408938
"39",39,"2017-02-27",8943.7,8951.55,8889.3,8896.45,195571695,8952.55,8981.9,8928.1,8941.2,320126240,1.62804888295871,77.8196125250436,54.4746008274234,0.067481151650575,0.00124221533154945,8930.03588715147,53.7999999999993,168.192863497332,3617679593,0.151385530965218
"40",40,"2017-02-28",8898.95,8914.75,8868.1,8875.2,239674131,8943.7,8951.55,8889.3,8896.45,195571695,1.5658789854041,70.9797602146364,54.0030191658122,0.0769967461744984,-0.00501748760429876,8931.12751010342,62.25,119.922153541896,3422107898,0.317835224102655
"41",41,"2017-03-01",8904.4,8960.8,8900.65,8941.8,203411767,8898.95,8914.75,8868.1,8875.2,239674131,1.47994921459162,67.9266099517012,48.5819040301803,0.0775025109228033,-0.0023914504424134,8923.68710860502,46.6499999999996,85.594428716086,3182433767,0.396875581179092
"42",42,"2017-03-02",8982.85,8992.35,8880.2,8893.9,210087636,8904.4,8960.8,8900.65,8941.8,203411767,1.45571115464991,71.9927644258121,53.7232800639849,0.069059458591134,0.00747604088183174,8939.11999326791,85.5999999999985,116.344216733414,3385845534,0.149153803236006
"43",43,"2017-03-03",8885.55,8906.9,8860.3,8902.2,202119337,8982.85,8992.35,8880.2,8893.9,210087636,1.37671721524746,65.555597712751,42.1051257078862,0.0784263476009086,-0.0053712627103355,8933.70498239702,112.15,93.0685640082443,3175757898,0.352488363766561
"44",44,"2017-03-06",8915.1,8967.75,8914.7,8962.6,173104235,8885.55,8906.9,8860.3,8902.2,202119337,1.30652340254014,66.1208798883305,43.6814088622725,0.0763180994455293,0.000932788712336929,8931.50799223066,46.6000000000004,54.1446867785336,3377877235,0.322771213748655
"45",45,"2017-03-07",8977.75,8977.75,8933,8944.95,171612164,8915.1,8967.75,8914.7,8962.6,173104235,1.29084798313175,69.9816739673713,47.7988053960019,0.0740758819920653,0.00676192626194272,8949.03536270671,65.5499999999993,102.960536176958,3550981470,0.106516290726817
"46",46,"2017-03-08",8950.7,8956.8,8892.25,8923.85,193457469,8977.75,8977.75,8933,8944.95,171612164,1.24776221167346,67.5588642311707,47.8996330454355,0.0752644963609293,-0.00197123623447304,8955.38226814252,44.75,96.0131423944558,3379369306,0.169709989258859
"47",47,"2017-03-09",8914.5,8945.35,8900.5,8927.8,168587379,8950.7,8956.8,8892.25,8923.85,193457469,1.18071627807697,64.6761501267822,51.3692664265845,0.075022644396947,-0.00236165940712141,8952.31094804112,64.5499999999993,62.5303352447252,3185911837,0.251468428781204
"48",48,"2017-03-10",8953.7,8975.3,8904.1,8936.85,144254572,8914.5,8945.35,8900.5,8927.8,168587379,1.11820974937766,64.9774275575941,53.3277921792086,0.07468773925977,0.000442536131332716,8950.61986770742,44.8500000000004,57.6784906706384,3354499216,0.344083155650325
"49",49,"2017-03-14",9091.65,9120.6,9060.7,9073.35,262106089,8953.7,8975.3,8904.1,8936.85,144254572,1.06454478615849,65.6992629757212,50.4285767165277,0.0687562253533531,0.00101317414829616,8951.72518193998,71.1999999999989,68.6664313544792,3498753788,0.304109589041096
