"","X.1","X","Date","open","high","low","close","volume","Open","High","Low","Close","Volume","macd","rsi","ulti","volatility","roc","dema","atr","cci","obv","wr"
"32",36,36,"2017-02-21",8890.75,8885.35,1,8903.25,156514278,8818.55,8885.35,1,8884.25,150706179,1.62198790526629,75.2227999876959,99.6324351318179,0.0673876219863952,0.00760404088780398,8851.50686518479,8884.35,111.286055226186,2883847297,0.000185708336616016
"33",37,37,"2017-02-22",8931.45,8960.6,1,8930.1,257191778,8890.75,8885.35,1,8903.25,156514278,1.62435795989975,76.0974727985213,99.6825504736799,0.0672675549355532,0.00213633250610812,8878.86284146578,8884.35,120.945824082193,3040361575,-0.00195275129714463
"34",38,38,"2017-02-23",8952.55,8981.9,1,8941.2,320126240,8931.45,8960.6,1,8930.1,257191778,1.63152978750387,77.3161416186251,99.6771928472047,0.0676260987177427,0.00301121441437857,8906.85773991948,8959.6,164.972484388811,3297553353,0.00340416982901022
"35",39,39,"2017-02-27",8943.7,8951.55,1,8896.45,195571695,8952.55,8981.9,1,8941.2,320126240,1.62804888295871,77.8196125250436,99.6672470673682,0.067481151650575,0.00124221533154945,8930.03588715147,8980.9,169.980412874362,3617679593,0.00453183979333908
"36",40,40,"2017-02-28",8898.95,8914.75,1,8875.2,239674131,8943.7,8951.55,1,8896.45,195571695,1.5658789854041,70.9797602146364,99.6788962085482,0.0769967461744984,-0.00501748760429876,8931.12751010342,8950.55,121.729675371609,3422107898,0.0095146366177108
"37",41,41,"2017-03-01",8904.4,8960.8,1,8941.8,203411767,8898.95,8914.75,1,8875.2,239674131,1.47994921459162,67.9266099517012,99.6490218602017,0.0775025109228033,-0.0023914504424134,8923.68710860502,8913.75,81.8069525322018,3182433767,0.0118807691879432
"38",42,42,"2017-03-02",8982.85,8992.35,1,8893.9,210087636,8904.4,8960.8,1,8941.8,203411767,1.45571115464991,71.9927644258121,99.6959054664945,0.069059458591134,0.00747604088183174,8939.11999326791,8959.8,122.622774636695,3385845534,0.00446503134429738
"39",43,43,"2017-03-03",8885.55,8906.9,1,8902.2,202119337,8982.85,8992.35,1,8893.9,210087636,1.37671721524746,65.555597712751,99.5880471357653,0.0784263476009086,-0.0053712627103355,8933.70498239702,8991.35,101.072469444409,3175757898,0.0109494124908941
"40",44,44,"2017-03-06",8915.1,8967.75,1,8962.6,173104235,8885.55,8906.9,1,8902.2,202119337,1.30652340254014,66.1208798883305,99.5777507010775,0.0763180994455293,0.000932788712336929,8931.50799223066,8905.9,54.9078123387777,3377877235,0.010026303057939
"41",45,45,"2017-03-07",8977.75,8977.75,1,8944.95,171612164,8915.1,8967.75,1,8962.6,173104235,1.29084798313175,69.9816739673713,99.6055888512247,0.0740758819920653,0.00676192626194272,8949.03536270671,8966.75,107.063108718028,3550981470,0.00330873561812186
