"","Date","open","high","low","close","volume"
"117",2017-06-21,9648.1,9650.05,9608.7,9636.45,138653453
"118",2017-06-22,9642.65,9698.6,9618.15,9624,191974785
"119",2017-06-23,9643.25,9646.65,9565.35,9576.15,175718895
"120",2017-06-27,9594.05,9615.25,9473.7,9509.8,195179536
"121",2017-06-28,9520.2,9522.35,9474.45,9492.8,166837082
"122",2017-06-29,9522.95,9575.3,9494.25,9494.25,243707570
"123",2017-06-30,9478.5,9535.55,9448.8,9524.95,161031178
"124",2017-07-03,9587.95,9623.9,9543.85,9615.55,167529484
"125",2017-07-04,9645.9,9649.8,9595.8,9610.65,142349265
"126",2017-07-05,9619.75,9643.4,9607.4,9641.35,121339482
"127",2017-07-06,9653.6,9700.6,9640,9668.95,135314148
"128",2017-07-07,9670.35,9684,9642.9,9665.35,136755875
"129",2017-07-10,9698.25,9782,9668.1,9762.2,NA
"130",2017-07-11,9797.45,9829.85,9779.3,9786.4,175208877
"131",2017-07-12,9807.3,9824.45,9787.95,9822.85,142104850
"132",2017-07-13,9855.8,9897.25,9855.5,9886.25,179828290
"133",2017-07-14,9913.3,9913.3,9845.55,9886.7,160672347
"134",2017-07-17,9908.15,9928.2,9894.85,9913.65,160537021
"135",2017-07-18,9832.7,9884.95,9813.8,9828.45,294608594
"136",2017-07-19,9855.95,9904.65,9851.8,9902.05,195469920
"137",2017-07-20,9920.2,9922.35,9863.6,9870.9,158702351
"138",2017-07-21,9899.6,9923.9,9838.1,9914.15,207573607
"139",2017-07-24,9936.8,9981.7,9919.6,9965.55,178202652
"140",2017-07-25,10010.55,10010.55,9949.55,9964.8,163254056
"141",2017-07-26,9983.65,10025.6,9966.45,10020.3,174734941
"142",2017-07-27,10063.25,10114.75,10006.05,10020.6,280242291
"143",2017-07-28,9996.55,10025.85,9944.75,10002.95,182627241
"144",2017-07-31,10034.7,10085.75,10018,10076.95,229480996
"145",2017-08-01,10101.05,10128.35,10066,10120.35,181004693
"146",2017-08-02,10136.3,10136.3,10054.9,10058.1,158163586
"147",2017-08-03,10081.15,10081.15,9998.4,10003.85,193860766
"148",2017-08-04,10008.6,10075.15,9988.5,10068.5,190438998
"149",2017-08-07,10074.8,10087.8,10046.4,10049.6,144306021
"150",2017-08-08,10068.35,10083.6,9947.65,9977.1,181361664
"151",2017-08-09,9961.15,9969.2,9893.55,9900.3,160042653
"152",2017-08-10,9872.85,9891.9,9777.65,9850,202712403
"153",2017-08-11,9712.15,9771.55,9685.7,9712.95,262251235
"154",2017-08-14,9755.75,9817.75,9754.55,9790.85,168873613
"155",2017-08-16,9825.85,9903.6,9774.45,9900.65,185191791
"156",2017-08-17,9945.55,9947.6,9883.85,9903.85,174421630
"157",2017-08-18,9865.95,9865.95,9783.9,9834.45,307430139
"158",2017-08-21,9864.25,9884.15,9740.25,9751.45,240562498
"159",2017-08-22,9815.75,9828.35,9752.85,9775.1,189165286
"160",2017-08-23,9803.05,9857.75,9786.8,9847.6,180933862
"161",2017-08-24,9881.2,9881.2,9849.1,9865.7,187641896
"162",2017-08-28,9907.15,9925.6,9882,9911.9,170964918
"163",2017-08-29,9886.4,9886.4,9783.95,9793,161473168
"164",2017-08-30,9859.5,9909.45,9850.8,9886.35,163117394
"165",2017-08-31,9905.7,9924.8,9857.35,9915.8,322275500
"166",2017-09-01,9937.65,9983.25,9910.3,9971.05,143961286
"167",2017-09-04,9984.15,9984.15,9861.3,9904.35,141357313
"168",2017-09-05,9933.25,9963.05,9901.2,9946.5,134733836
"169",2017-09-06,9899.25,9931.5,9882.65,9915.15,149871201
"170",2017-09-07,9945.85,9964.5,9917.35,9924,168360794
"171",2017-09-08,9958.65,9963.6,9913.45,9924.4,152577267
"172",2017-09-11,9971.75,10028.35,9971.75,10005.95,163518224
"173",2017-09-12,10056.85,10097.5,10028.2,10087.6,178283141
"174",2017-09-13,10099.25,10131.4,10063.7,10085.7,193598992
"175",2017-09-14,10107.4,10126.3,10070.45,10087,209528540
"176",2017-09-15,10062.35,10114.8,10043.7,10085.4,259541929
"177",2017-09-18,10133.1,10171.5,10133.1,10154.4,146734553
"178",2017-09-19,10175.6,10178.5,10130,10149.35,184627532
"179",2017-09-20,10160.95,10170.05,10134.55,10139.55,194621239
"180",2017-09-21,10139.6,10158.9,10058.6,10123.6,183002119
"181",2017-09-22,10094.35,10094.35,9952.95,9963.6,209326134
"182",2017-09-25,9960.1,9960.1,9816.4,9875.6,196600901
"183",2017-09-26,9875.25,9890.7,9813.2,9855.25,171878410
"184",2017-09-27,9920.6,9920.6,9714.9,9738.3,187312181
"185",2017-09-28,9736.4,9786.5,9688.4,9760.2,321033039
"186",2017-09-29,9814.3,9853.9,9775.4,9782.95,185852298
"187",2017-10-03,9893.3,9893.3,9831.15,9854.75,189604618
"188",2017-10-04,9884.35,9937.95,9850.95,9924.5,149693583
"189",2017-10-05,9927,9945.85,9881.95,9887.1,141747735
"190",2017-10-06,9908.15,9989.25,9907.65,9987.2,194349835
"191",2017-10-09,9988.2,10015.65,9959.5,9987.95,141197810
"192",2017-10-10,10013.7,10033.9,10002.35,10013.8,142343672
"193",2017-10-11,10042.6,10067.2,9955.85,9970.1,174777022
"194",2017-10-12,10011.2,10104.05,9977.1,10098,191412921
"195",2017-10-13,10123.7,10191.75,10121.75,10161.75,211225614
"196",2017-10-16,10207.4,10242.95,10175.3,10233.05,187328974
"197",2017-10-17,10227.65,10251.65,10212.9,10238.35,174952050
"198",2017-10-18,10209.4,10236.3,10176.1,10214.8,235788641
"199",2017-10-23,10176.65,10223.65,10124.8,10191.3,209226762
"200",2017-10-24,10218.55,10237.5,10182.45,10207.7,195911370
"201",2017-10-25,10321.15,10333,10241.25,10293.75,574760788
"202",2017-10-26,10291.8,10355.35,10272.15,10336.3,420552551
"203",2017-10-27,10362.3,10364.8,10312,10319.2,245055737
"204",2017-10-30,10353.85,10384.25,10344.85,10365.25,216395323
"205",2017-10-31,10364.9,10364.9,10324,10340,223213457
"206",2017-11-01,10390.35,10451.6,10386.35,10441.55,255044135
"207",2017-11-02,10440.5,10452.65,10412.65,10425.45,194947731
"208",2017-11-03,10461.55,10461.55,10403.95,10453.65,186421926
"209",2017-11-06,10431.75,10490.4,10413.8,10435.8,206890252
"210",2017-11-07,10477.15,10485.15,10340.9,10351.4,239066459
"211",2017-11-08,10361.95,10383.85,10285.55,10313.8,237157538
"212",2017-11-09,10358.65,10368.3,10267.25,10324.6,215490917
"213",2017-11-10,10304.35,10344.5,10254.25,10334.4,265197526
"214",2017-11-13,10322,10334,10216.95,10222.6,200531484
"215",2017-11-14,10223.4,10247.95,10175.6,10181.65,165756463
"216",2017-11-15,10171.95,10175.3,10094.2,10129.55,189891388
"217",2017-11-16,10152.9,10231.85,10139.25,10231.45,171280819
"218",2017-11-17,10324.55,10343.45,10268.45,10274.75,354639164
"219",2017-11-20,10287.2,10309.65,10261.85,10297.05,145468847
"220",2017-11-21,10329.25,10358.6,10315.4,10321.25,224206660
"221",2017-11-22,10350.8,10368.5,10309.65,10346.85,162643736
"222",2017-11-23,10358.45,10374.15,10307.45,10350.95,153361153
"223",2017-11-24,10366.8,10404.45,10363.1,10393.3,137431873
"224",2017-11-27,10361.05,10406.8,10340.4,10404.65,141959159
"225",2017-11-28,10387.9,10409.3,10355.45,10363.8,190498944
"226",2017-11-29,10376.65,10392.3,10345.95,10350.65,140609031
"227",2017-11-30,10332.7,10332.7,10212.25,10229.45,344432576
"228",2017-12-01,10263.7,10272.6,10109.55,10119.8,129515882
"229",2017-12-04,10175.05,10175.5,10095.85,10137.9,144137530
"230",2017-12-05,10118.25,10147.35,10069.55,10122.15,149400836
"231",2017-12-06,10088.8,10104.15,10033.7,10039.65,156783770
"232",2017-12-07,10063.45,10182.35,10062,10172.7,165874082
"233",2017-12-08,10198.45,10270.75,10195.25,10267.85,190508760
"234",2017-12-11,10310.5,10328.85,10282.1,10326.05,142806601
"235",2017-12-12,10324.9,10324.9,10230.45,10241.75,168671736
"236",2017-12-13,10236.6,10296.3,10169.95,10202.75,168648830
"237",2017-12-14,10229.3,10275.9,10141.8,10258.85,152470021
"238",2017-12-15,10345.65,10373.05,10321.45,10326.8,224804806
"239",2017-12-18,10263.1,10443.4,10076.15,10390.8,214888966
"240",2017-12-19,10414.8,10469.8,10406.15,10469.5,166778156
"241",2017-12-20,10494.4,10494.4,10437.35,10443.2,173139253
"242",2017-12-21,10473.95,10473.95,10428.25,10429.65,145559780
"243",2017-12-22,10457.3,10500.95,10449.65,10486.6,135944427
"244",2017-12-26,10512.3,10545.3,10477.95,10525.6,150104106
"245",2017-12-27,10531.05,10552.25,10469.45,10475.1,150813647
"246",2017-12-28,10498.2,10534.45,10461.55,10467,264002436
"247",2017-12-29,10492.35,10538.2,10490.15,10526.45,148519142
"248",2018-01-01,10531.7,10537.8,10423.3,10432.45,124409621
"249",2018-01-02,10477.55,10495,10405.1,10439.55,145096931
"250",2018-01-03,10482.65,10503.5,10429.9,10446.75,161220951
"251",2018-01-04,10469.4,10512.4,10441.5,10505.35,174928529
"252",2018-01-05,10534.25,10565.85,10520.15,10561.35,159767808
"253",2018-01-08,10591.7,10631.15,10591.7,10617.85,159910460
"254",2018-01-09,10645.1,10659.05,10603.7,10628.3,199260918
"255",2018-01-10,10652.05,10655.05,10592.85,10625.4,166233944
"256",2018-01-11,10637.05,10664.2,10612.6,10650.4,148955971
"257",2018-01-12,10682.55,10690,10597.7,10667.3,173082647
"258",2018-01-15,10718.5,10782.65,10715.5,10732.85,181800567
"259",2018-01-16,10761.5,10762.35,10688.15,10711.15,215827138
"260",2018-01-17,10702.45,10801.1,10666.75,10794.3,252746322
"261",2018-01-18,10873.4,10887.4,10782.95,10822.1,276649416
